id,category,creator_id,level,maxUsers,price,title,duration,datetime,creator,description
1000,Pilates,551,advanced,22,12.27,A Pilates class,1 h 45 min,2024-05-13 00:30:00.562059,vanessa_foley,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1001,Aerobics,535,intermediate,46,21.89,A Aerobics class,1 h 10 min,2024-03-29 12:00:00.562059,donna_mills,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1002,Other,382,begginer,34,16.25,A Other class,0 h 20 min,2023-11-18 03:30:00.562059,laura_kelley,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1003,Pilates,970,advanced,13,15.86,A Pilates class,1 h 45 min,2023-06-06 20:30:00.562059,shannon_hale,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1004,CrossFit,872,intermediate,1,12.78,A CrossFit class,0 h 35 min,2023-11-08 12:00:00.562059,sarah_hart,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1005,Other,211,all levels,13,17.27,A Other class,1 h 55 min,2023-08-10 04:30:00.562059,mason_payne,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone"
1006,GAP,440,advanced,38,12.53,A GAP class,0 h 25 min,2024-05-01 00:00:00.562059,dana_richardson,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1007,Personalized,706,advanced,49,14.96,A Personalized class,0 h 35 min,2023-07-04 02:30:00.562059,charles_williams,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation."
1008,Spinning,854,begginer,44,19.95,A Spinning class,1 h 25 min,2023-07-23 15:00:00.562059,breanna_johnston,"Pedal your way to a healthier you with our energizing spinning classes. Get your heart racing, strengthen your legs, and burn calories as you ride to the rhythm of motivating music in a dynamic and immersive indoor cycling experience."
1009,Pilates,268,all levels,49,17.79,A Pilates class,0 h ,2023-06-24 18:00:00.562059,debra_green,"Sculpt your body and improve your posture with our dynamic Pilates sessions. Strengthen your core, tone your muscles, and increase flexibility while engaging in precise movements that promote body awareness and grace."
1010,HIIT,703,begginer,9,16.59,A HIIT class,2 h ,2023-07-12 06:30:00.562059,david_barnett,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1011,Body Pump,758,advanced,37,18.0,A Body Pump class,0 h 20 min,2024-04-06 19:30:00.562059,jessica_russell,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1012,Aerobics,775,all levels,2,14.2,A Aerobics class,0 h 5 min,2023-08-08 22:00:00.562059,margaret_petersen,"Join the fun and get your heart pumping with our vibrant aerobics classes. Move to energizing music, improve cardiovascular fitness, and enhance coordination while enjoying a lively and engaging workout."
1013,GAP,619,begginer,17,7.61,A GAP class,2 h ,2024-04-25 18:00:00.562059,dakota_mckinney,"Focus on your lower body and core strength with our targeted GAP classes. Tone and tighten your glutes, abs, and legs through a combination of exercises designed to help you achieve a firm and toned physique."
1014,Stretching,111,advanced,19,15.74,A Stretching class,2 h ,2023-12-14 16:00:00.562059,stephanie_lee,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief."
1015,Body Combat,703,all levels,40,13.13,A Body Combat class,2 h ,2024-03-30 14:00:00.562059,david_barnett,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1016,Total Body Conditioning,791,begginer,8,17.37,A Total Body Conditioning class,2 h ,2023-07-29 04:00:00.562059,anthony_chapman,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1017,ABS,538,all levels,48,12.31,A ABS class,2 h ,2024-01-21 15:00:00.562059,matthew_francis,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1018,Boxing,799,advanced,6,12.1,A Boxing class,2 h ,2024-03-22 00:00:00.562059,sherry_wright,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress."
1019,CrossFit,759,advanced,7,17.79,A CrossFit class,0 h 35 min,2023-06-10 18:00:00.562059,brian_white,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1020,CrossFit,605,intermediate,30,17.59,A CrossFit class,1 h 40 min,2024-03-16 17:30:00.562059,scott_smith,"Unleash your inner athlete with our high-intensity CrossFit classes. Push your limits, increase strength and endurance, and experience the camaraderie of a supportive community as you tackle challenging workouts designed to optimize your fitness."
1021,HIIT,781,advanced,31,18.73,A HIIT class,2 h ,2023-06-20 04:30:00.562059,angel_ingram,Get ready to torch calories and boost your metabolism with our heart-pumping HIIT sessions. Alternate between intense bursts of exercise and short recovery periods to maximize fat burning and achieve fast results.
1022,Body Combat,254,intermediate,42,18.18,A Body Combat class,1 h 50 min,2024-03-28 20:00:00.562059,trevor_nixon,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1023,Body Pump,342,intermediate,22,20.93,A Body Pump class,1 h 5 min,2023-10-26 19:00:00.562059,john_george,"Sculpt and define your muscles with our invigorating body pump classes. Using barbells and adjustable weights, you'll perform a series of strength-training exercises to target all major muscle groups, leaving you feeling strong and confident."
1024,Zumba,590,begginer,49,19.34,A Zumba class,2 h ,2024-02-13 11:30:00.562059,tiffany_alexander,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1025,Total Body Conditioning,113,begginer,13,11.44,A Total Body Conditioning class,0 h 15 min,2023-12-02 11:00:00.562059,calvin_smith,"Transform your body from head to toe with our comprehensive total body conditioning classes. Combining strength, cardio, and flexibility exercises, you'll enjoy a complete workout that targets all muscle groups for improved fitness and body composition."
1026,Zumba,328,begginer,13,15.82,A Zumba class,0 h 50 min,2023-06-13 14:00:00.562059,jimmy_hayden,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration."
1027,ABS,768,advanced,9,13.55,A ABS class,0 h 5 min,2024-04-20 10:00:00.562059,katherine_adams,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability."
1028,Body Combat,434,advanced,37,17.59,A Body Combat class,1 h 50 min,2024-03-26 00:30:00.562059,pamela_sampson,"Channel your energy and release stress with our dynamic body combat classes. Combine martial arts-inspired moves with cardiovascular exercises to improve strength, coordination, and cardiovascular fitness in a challenging and empowering session."
1029,Barre,145,begginer,16,9.6,A Barre class,0 h 50 min,2023-10-11 10:00:00.562059,ethan_hawkins,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina."
1030,Yoga,775,advanced,30,16.46,A Yoga class,0 h 40 min,2024-05-13 15:00:00.562059,margaret_petersen,"Discover inner peace and enhance your physical and mental well-being with our invigorating yoga classes. Unwind, increase flexibility, and strengthen your body while finding balance and harmony in a serene environment."
