id,category,creator_id,level,maxUsers,price,title,duration,datetime,creator,description,enrolled_users
0,Zumba,656,all levels,39,19.37,A Zumba class,1 h 25 min,2022-07-30 01:00:00.530965,nathan_patton,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration.",[]
1,Other,557,intermediate,43,11.91,A Other class,2 h ,2023-01-02 05:00:00.530965,justin_brown,"Embark on a journey of exploration and variety with our diverse range of specialized fitness classes. From aerial yoga to functional training, we offer unique opportunities to challenge yourself, discover new passions, and uncover hidden talents. Step outside your comfort zone",[]
2,Zumba,908,advanced,9,15.84,A Zumba class,1 h 10 min,2022-05-30 02:00:00.530965,lori_mathis,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration.",[]
3,ABS,254,begginer,50,14.78,A ABS class,0 h ,2022-09-14 02:00:00.530965,william_carter,"Sculpt a strong and defined core with our dedicated ABS classes. Through a variety of exercises specifically targeting your abdominal muscles, you'll work towards achieving a toned midsection and improved stability.",[]
4,Barre,813,all levels,47,17.64,A Barre class,0 h 20 min,2023-01-15 00:00:00.530965,rebecca_serrano,"Achieve a graceful and sculpted physique with our ballet-inspired barre classes. Combine elements of dance, Pilates, and strength training to tone your muscles, improve flexibility, and embrace your inner ballerina.",[]
5,Personalized,170,advanced,45,9.44,A Personalized class,1 h 30 min,2022-12-24 00:00:00.530965,roy_perry,"Experience the ultimate tailored fitness program with our personalized classes. Our expert trainers will design a workout plan specifically for you, taking into account your goals, fitness level, and preferences to ensure optimal results and motivation.",[]
6,Kickboxing,377,begginer,44,17.64,A Kickboxing class,2 h ,2022-10-31 17:00:00.530965,mark_harding,"Release stress and get a full-body workout with our empowering kickboxing classes. Learn striking techniques, improve your coordination, and build strength while unleashing your inner warrior in a fun and supportive environment.",[]
7,Stretching,343,intermediate,50,13.94,A Stretching class,0 h 15 min,2022-11-05 13:00:00.530965,david_williams,"Enhance your flexibility, improve posture, and prevent injuries with our rejuvenating stretching classes. Release tension, increase range of motion, and promote muscle recovery while experiencing deep relaxation and stress relief.",[]
8,Boxing,10,begginer,8,10.56,A Boxing class,1 h 35 min,2023-03-25 15:00:00.530965,nathan_wong,"Unleash your inner fighter and improve your strength and agility with our empowering boxing classes. Learn proper boxing techniques, increase endurance, and build confidence while working up a sweat and relieving stress.",[]
9,Zumba,614,intermediate,35,19.87,A Zumba class,0 h 50 min,2023-04-13 15:30:00.530965,colleen_sherman,"Join the dance party and get your heart pumping with our exhilarating Zumba classes. Burn calories, boost your energy, and let loose to infectious Latin and international rhythms that make exercising feel like a celebration.",[]
